Age,Gender,Ayear,scl_med_t,free_time,frnd_prsnl,scl_sprt_v_prsnl,scl_spc_cnt_ppl,scl_md_lmt,scl_md_mt_frn,pref_talk,Othr_pst,Oth_lkd_wshd,scl_md_jn,I_or_E,scl_md_C19,scl_md_ol,lnl_ol,compuls
20,1,3,2,1,2,2,2,2,2,2,1,1,3,0,1,24,50,3
20,1,3,1,4,1,5,2,1,2,2,1,1,4,1,0,14,48,1.5
21,1,4,1,3,4,1,2,1,1,2,1,1,1,0,1,12,38,1.5
21,1,3,2,2,4,2,4,1,1,2,1,1,1,0,0,9,36,3.5
20,1,2,1,2,1,1,2,1,1,2,1,0,1,0,0,11,45,1.5
21,1,4,2,1,2,4,2,2,3,2,1,1,3,0,1,20,51,3
22,1,4,1,1,1,4,2,2,2,2,1,1,3,0,1,20,45,1
20,0,3,2,2,4,1,2,1,1,2,1,0,2,0,1,20,60,3.5
20,1,4,2,4,4,3,2,2,1,2,1,0,4,0,1,10,23,3
23,1,5,2,2,1,3,1,2,2,2,1,1,1,0,1,14,51,3
20,1,3,1,2,2,3,3,1,1,2,1,2,2,0,0,11,44,1.5
19,0,5,2,3,1,2,2,4,2,2,1,0,1,0,2,12,49,2
18,1,1,3,1,2,2,2,2,1,2,1,2,4,0,1,12,47,5
22,1,3,2,3,1,1,2,1,1,2,3,1,4,0,1,22,58,3.5
19,1,1,1,3,3,1,2,2,1,2,1,0,1,0,0,11,22,1
21,1,2,2,3,1,3,2,2,3,2,1,0,3,0,2,14,44,3
25,1,5,1,2,1,1,3,2,1,2,1,0,4,1,2,14,40,1
25,1,5,1,4,1,1,2,2,2,2,3,2,4,0,1,30,50,1
21,1,3,3,3,1,1,3,1,3,2,3,2,3,0,1,19,51,5.5
21,0,3,2,1,1,1,1,2,2,2,1,0,1,0,1,9,43,3
20,1,3,2,1,2,2,2,2,2,1,1,1,4,0,0,17,54,3
19,1,1,2,1,3,2,2,2,2,2,1,2,3,0,1,16,59,3
20,1,3,1,4,1,1,2,0,1,2,1,2,4,0,0,7,55,2
21,1,3,2,2,1,2,1,2,2,2,2,0,3,0,1,18,49,3
21,1,2,2,1,4,2,3,2,1,2,3,2,1,0,1,13,45,3
19,1,1,1,2,1,1,2,1,1,2,3,1,4,0,1,18,50,1.5
19,1,2,2,3,3,2,3,2,2,2,1,0,4,1,2,10,50,3
21,1,5,1,3,2,1,2,1,1,2,3,1,4,1,1,20,42,1.5
19,1,3,3,4,2,4,1,1,2,2,1,0,1,0,1,22,44,5.5
20,1,3,3,1,1,3,3,4,4,2,2,1,2,0,1,23,50,4
27,1,5,1,3,2,3,2,2,2,2,1,1,2,0,1,18,50,1
20,1,4,2,3,1,1,1,1,1,2,1,0,3,0,1,12,37,3.5
18,1,1,1,4,4,1,1,1,2,2,3,1,1,0,0,10,45,1.5
21,0,5,1,1,1,3,2,1,2,2,3,0,3,0,1,12,51,1.5
24,0,5,2,1,1,3,2,4,2,2,1,0,4,1,2,17,50,2
18,0,1,2,1,2,1,1,2,2,2,1,2,1,1,1,10,50,3
27,1,5,1,4,1,2,2,1,1,2,1,0,3,0,1,6,26,1.5
16,0,0,2,4,2,2,2,2,2,2,1,0,4,1,1,11,37,3
20,1,3,2,4,4,4,3,2,2,2,1,0,4,0,1,10,27,3
20,1,3,3,1,2,3,2,2,2,1,1,2,3,0,2,17,45,5
21,1,3,3,1,1,3,2,2,3,2,2,0,4,1,1,20,55,5
21,1,3,3,3,3,3,2,1,2,1,1,2,4,1,1,15,51,5.5
21,1,3,2,1,4,2,2,2,1,2,1,2,3,0,1,12,45,3
22,1,3,1,1,3,4,2,1,3,2,2,2,1,1,0,15,50,1.5
19,0,3,3,4,2,2,2,4,2,2,3,2,1,1,1,8,21,4
21,1,3,1,4,4,4,2,1,2,2,1,2,3,0,2,9,42,1.5
19,1,1,4,1,4,5,3,3,2,2,1,1,4,0,1,19,45,6.5
20,1,1,1,3,1,1,1,1,4,2,1,2,3,1,1,6,31,1.5
21,1,3,2,1,3,3,2,2,1,2,1,1,1,1,1,21,44,3
21,1,2,1,3,1,1,2,1,1,2,1,2,4,0,2,11,54,1.5
19,1,2,1,2,4,4,2,4,2,1,2,1,3,1,1,11,46,0
22,1,4,2,2,3,3,2,2,1,2,1,0,4,1,1,12,23,3
20,0,3,1,3,1,1,4,1,2,2,1,0,3,0,1,10,41,1.5
21,1,3,4,1,1,4,4,3,3,1,3,0,4,0,2,13,45,6.5
19,1,2,4,3,4,2,3,4,3,2,1,0,3,0,1,12,50,6
21,0,3,2,4,4,4,3,3,2,2,1,2,3,0,1,14,55,2.5
20,1,3,1,2,1,1,2,1,3,2,1,2,1,0,0,7,30,1.5
23,1,3,3,2,1,4,2,4,1,1,2,1,3,1,1,19,49,4
22,1,5,1,4,1,1,1,1,2,2,1,1,4,0,1,7,80,1.5
24,1,2,2,1,2,2,2,3,2,1,2,1,2,0,1,11,51,2.5
21,1,3,1,2,2,3,3,3,2,2,2,2,3,0,1,16,49,0.5
17,1,1,3,1,4,3,3,1,3,1,3,1,4,1,1,14,52,5.5
21,1,5,1,4,1,2,1,2,2,2,1,1,4,1,1,16,56,1
17,0,5,3,1,4,5,4,4,2,1,3,1,4,0,1,18,50,4
21,1,2,3,4,1,1,1,1,1,2,3,1,4,0,1,23,50,5.5
21,1,3,1,1,2,1,3,2,3,2,3,1,4,1,1,13,52,1
20,1,3,2,3,2,1,1,1,1,2,1,0,3,1,1,18,53,3.5
18,0,1,4,3,2,3,3,4,3,1,3,1,4,0,1,29,54,6
22,0,3,1,4,1,1,2,1,2,2,2,1,2,0,0,6,51,1.5
21,0,3,2,2,3,2,2,2,1,2,3,1,1,0,1,13,45,3
21,0,3,4,3,2,4,2,4,2,2,1,0,3,1,1,12,50,6
26,0,5,3,1,1,3,1,2,2,2,3,1,1,0,1,13,40,5
21,0,3,1,4,2,1,2,2,1,2,1,0,1,1,2,6,24,1
20,0,2,1,3,1,1,1,1,1,2,1,0,3,1,0,6,44,1.5
20,0,3,2,4,2,2,3,2,2,1,3,2,1,0,1,20,53,3
19,1,3,3,1,4,3,2,2,2,1,1,1,1,0,2,26,56,5
21,1,3,2,3,2,3,3,2,2,1,2,2,1,0,1,18,45,3
20,0,3,1,4,4,2,2,1,2,2,2,2,1,0,1,11,57,1.5
20,0,3,2,4,2,2,2,2,2,2,1,2,1,0,2,14,58,3
20,1,1,2,4,2,3,2,1,1,2,2,1,3,0,1,16,37,3.5
20,1,3,5,4,4,5,2,4,2,1,1,1,3,0,1,18,51,8
